,song_name,class,tempo,total_beats,average_beats,chroma_stft_mean,chroma_stft_std,chroma_stft_var,chroma_cq_mean,chroma_cq_std,chroma_cq_var,chroma_cens_mean,chroma_cens_std,chroma_cens_var,melspectrogram_mean,melspectrogram_std,melspectrogram_var,mfcc_mean,mfcc_std,mfcc_var,mfcc_delta_mean,mfcc_delta_std,mfcc_delta_var,rms_mean,rms_std,rms_var,cent_mean,cent_std,cent_var,spec_bw_mean,spec_bw_std,spec_bw_var,contrast_mean,contrast_std,contrast_var,rolloff_mean,rolloff_std,rolloff_var,poly_mean,poly_std,poly_var,tonnetz_mean,tonnetz_std,tonnetz_var,zcr_mean,zcr_std,zcr_var,harm_mean,harm_std,harm_var,perc_mean,perc_std,perc_var,frame_mean,frame_std,frame_var
10,"Bad Bunny, Drake - MIA (Lyrics Letra).mp3",happy,0.460416667,0.471259501,0.267449062,0.685048127,0.60380242,0.573801664,0.150219975,0.585514601,0.545113614,0.330782281,0.78773378,0.708073331,0.760993409,0.717772653,0.516193058,0.982216199,0.166372833,0.093177525,0.861978251,0.798202878,0.742587871,0.924751152,0.680720521,0.488672054,0.295104394,0.472190788,0.35510759,0.691062979,0.501736171,0.385481853,0.876377889,0.936336147,0.926556356,0.532980793,0.502647347,0.4093895,0.738487536,0.768683709,0.612996746,0.169816147,0.529339397,0.378354299,0,0.195190157,0.099522211,0.701577964,0.870510503,0.763135062,0.260146439,0.654429691,0.452617501,0.083265904,0.180687804,0.059317609
11,Baitikochi Chuste.mp3,angry,0.889880952,1,0.321927783,0.234417116,0.622066729,0.592583294,0.2844874,0.567689064,0.52683361,0.583947281,0.575112572,0.45869752,0.340233954,0.240835033,0.058899958,0.524041253,0.28863731,0.180276472,0.728137107,0.699124639,0.626496549,0.581988356,0.550085787,0.331394742,0.237468999,0.378035302,0.267577043,0.521782643,0.261802556,0.171931314,0.791972929,0.530826283,0.489966978,0.316904915,0.21529133,0.152269277,0.574052728,0.610333214,0.402095807,0.301783629,0.441102897,0.291698359,0.184287705,0.25714067,0.140810434,0.602628704,0.532389785,0.295246891,0.336503002,0.432026062,0.213055216,0.068662582,0.134277324,0.038972417
12,Bebe Rexha - I Got You [Official Music Video].mp3,sad,1,0.967332162,0.970582369,0.32046813,0.705864509,0.679827391,0.479893501,0.637409967,0.598934856,0.662650383,0.495681824,0.376587789,0.094095883,0.087385026,0.008028031,0.593623432,0.341712162,0.222997296,0.760355084,0.070455355,0.047842875,0.312786263,0.239921685,0.078783409,0.542611132,0.92413054,0.891192298,0.720640261,1,1,0.571766472,0.588616526,0.548889673,0.72185877,1,1,0.309109136,0.283043661,0.105361228,0.576838915,0.44983274,0.299851195,0.488805294,0.614954426,0.470752745,0.273285323,0.273942424,0.084478373,0.232542873,0.221215587,0.06747768,0.419681732,0.474590701,0.27015781
13,Chris Brown - Undecided.mp3,happy,0.460416667,0.468733019,0.279731723,0.204228629,0.570057296,0.539320537,0,0.661972844,0.624722131,0.149291523,0.911451222,0.87300104,0.443638678,0.42912546,0.185352481,0.505838556,0.172051044,0.096873223,0.845897288,0.623620968,0.542579189,0.671333157,0.627073311,0.420434122,0.592398047,0.650355754,0.54352963,0.905329933,0.474518901,0.358565114,0.920366534,0.180936593,0.156623019,0.765767768,0.60321758,0.513931458,0.553822248,0.59154476,0.379986282,0.393027176,0.994713514,0.991526697,0.334031696,0.456806193,0.305693116,0.66632625,0.672810251,0.463114953,0.422700073,0.519303092,0.296541553,0.042654028,0.08672569,0.021790099
14,"David Guetta, Anne-Marie - Don't Leave Me Alone (Lyrics).mp3",happy,0.460416667,0.450363094,0.512504028,0.160570921,0.685837946,0.658816778,0.278652528,0.665999385,0.628968354,0.589733654,0.56953421,0.452734745,0.356498881,0.284843379,0.082136768,0.613719048,0.217736171,0.127845905,0.813104132,0.37287776,0.2921391,0.641730762,0.457565708,0.238249132,0.405031721,0.550540281,0.434293757,0.636268849,0.542501289,0.427085567,0.873121407,0.595774549,0.556264235,0.480102261,0.439028974,0.347155283,0.631987355,0.645357378,0.444961142,0.71966849,0.576666407,0.428721709,0.370827238,0.44588117,0.295415543,0.690167041,0.533164591,0.296070055,0.404883919,0.535982983,0.314044362,0.043578777,0.08075192,0.019893681
15,"David Guetta, Bebe Rexha & J Balvin - Say My Name (Official Video).mp3",happy,0.460416667,0.379078187,0.171699722,0.287414346,0.665860412,0.637958275,0.402061124,0.630548614,0.591767492,0.495170512,0.656188142,0.54870716,0.615357348,0.635211594,0.40463241,0.794885765,0.095559542,0.049947139,0.458519171,0.917882315,0.891857539,0.822887324,0.664639063,0.467683079,0.593906286,0.480339246,0.363074331,0.933831935,0.466786479,0.351043743,0.656092822,0.295941199,0.261757485,0.799233418,0.506358092,0.413112711,0.812655145,0.797642057,0.656314564,0.35635533,0.357194329,0.218046552,0.36659178,0.355760291,0.216181247,0.695510162,0.607946703,0.380904279,0.380185159,1,1,0.05402073,0.050824741,0.011273932
16,"Dimitri Vegas, MOGUAI & Like Mike - Body Talk (Mammoth) ft. Julian Perretta .mp3",happy,0.460416667,0.208088977,0,0.388769363,0.665226223,0.637297687,0.543230386,0.517507692,0.475940292,0.81425413,0.315110557,0.212293345,0.121741064,0.074161322,0.005837306,0.291091838,0.130483458,0.07060616,0.705931146,0.90564255,0.876137457,0.37234342,0.318190387,0.12649085,1,0.499622617,0.382176176,0.855040064,0.283267088,0.188854959,0.476917599,0.83942689,0.817313232,1,0.272525601,0.198568041,0.499175047,0.531822958,0.313813394,0.449759402,0.330554513,0.196447858,1,0.657026542,0.519793502,0.694940532,0.267749284,0.080988975,0.402447322,0.460389142,0.238695251,0.086618117,0.176781755,0.05746918
17,"DJ Snake - Taki Taki ft. Selena Gomez, Ozuna, Cardi B.mp3",happy,0.200617284,0.22134948,0.593810735,0.337280594,1,1,0.479976221,0.760600758,0.730288269,0.528082115,0.627071455,0.515661229,0.384859679,0.499389417,0.250618265,0.544886204,0.354686956,0.233893193,0.567673534,0.720482849,0.650949093,0.600919228,0.681192516,0.489295036,0.306170693,0.747604846,0.658960055,0.366327609,0.720517595,0.626875012,0.671262377,0.774028621,0.745333019,0.335299661,0.629219611,0.542188093,0.521191394,0.664044961,0.468711343,0.221920759,0.457288865,0.306887638,0.284604667,0.435413112,0.285704237,0.705868359,0.487738759,0.249739734,0.445608551,0.763713593,0.602679746,0.432281432,0.21812095,0.078300483
18,Drake - In My Feelings.mp3,sad,0.369318182,0.420355825,0.365796237,0.220830952,0.712329166,0.686630847,0.203234793,0.884973533,0.868027342,0.367307447,0.760305517,0.673483759,0.024071943,0.014905124,0.000294315,0.132686594,0.65520075,0.535975112,0.617808826,0.445716077,0.360415145,0.139126307,0.093335134,0.018559033,0.00576764,0.396734373,0.284297565,0,0.379815287,0.270276527,0.866218023,0.742027684,0.710622735,0,0.180749598,0.125509867,0.126492011,0.112244034,0.024996087,0.130657557,0.785195172,0.682980396,0.221330547,0.376462746,0.233507641,0.66154324,0.130898494,0.022530357,0.390974826,0.084350702,0.015427436,0.063769121,0.176247576,0.057218339
19,Drake_-_Gods_Plan_NaijaExclusive.net.mp3,happy,0.637254902,0.732969181,0.649465355,0.562127482,0.628924415,0.599656869,0.404471531,0.604087909,0.564273273,0.56439232,0.593683308,0.478761646,0.331375832,0.489789704,0.24112195,0.455636912,0.207052976,0.120405792,0.834261321,0.838080156,0.791225832,0.508190866,0.704644023,0.520742004,0.621732986,0.644326111,0.536665258,0.763913262,0.540221257,0.424717827,0.715468898,0.425577592,0.38547107,0.721452757,0.540399509,0.447747897,0.420487003,0.475503177,0.257132342,0.596875265,0.303825219,0.175641128,0.419850226,0.448017837,0.297414149,0.689306549,0.563967377,0.329722883,0.332804775,0.471236696,0.24888094,0.219781913,0.410547673,0.212145661
